Order,Nominal_X,Nominal_Y,Nominal_Z,Measured_X,Measured_Y,Measured_Z,Corrected_X,Corrected_Y,Corrected_Z,DevMeasured_X,DevMeasured_Y,DevMeasured_Z,DevCorrected_X,DevCorrected_Y,DevCorrected_Z
1,1419.539,20,528.03,1358.874,-250.395,660.817,1422.341,19.381,526.316,-60.665,-270.395,132.787,2.802,-0.619,-1.714
2,1410.657,57.029,517.849,1359.712,-212.453,646.804,1412.157,57.722,518.38,-50.946,-269.482,128.954,1.5,0.693,0.531
3,1379.687,93.474,499.738,1337.276,-172.65,621.252,1378.091,93.203,500.461,-42.411,-266.123,121.514,-1.596,-0.271,0.723
4,1327.115,128.76,473.983,1297.452,-131.235,584.957,1325.937,127.051,473.024,-29.663,-259.995,110.975,-1.178,-1.709,-0.959
5,1253.772,162.33,440.989,1237.693,-84.54,542.004,1252.66,161.52,440.793,-16.079,-246.87,101.016,-1.112,-0.81,-0.196
6,1160.814,193.657,401.276,1160.935,-35.854,490.329,1161.75,194.543,401.078,0.121,-229.51,89.053,0.936,0.886,-0.198
7,1049.706,222.244,355.472,1064.542,11.942,432.137,1051.605,222.363,355.73,14.836,-210.302,76.664,1.898,0.119,0.257
8,922.202,247.642,304.299,949.067,61.656,366.842,921.982,247.887,304.584,26.865,-185.986,62.543,-0.22,0.244,0.285
9,780.312,269.45,248.563,822.277,110.383,296.436,781.279,270.147,248.78,41.965,-159.067,47.873,0.966,0.697,0.217
10,626.274,287.324,189.144,681.333,155.583,221.627,627.478,285.866,188.756,55.059,-131.741,32.483,1.203,-1.459,-0.387
11,462.517,300.982,126.978,528.406,204.025,141.752,460.868,302.168,124.812,65.889,-96.957,14.774,-1.648,1.186,-2.166
12,291.623,310.209,63.047,369.478,245.877,67.816,290.699,309.76,65.983,77.855,-64.332,4.769,-0.924,-0.449,2.936
13,116.288,314.859,-1.643,204.851,284.963,-13.342,115.127,314.187,-0.132,88.564,-29.896,-11.699,-1.161,-0.673,1.511
14,-60.723,314.859,-66.07,39.42,319.494,-92.695,-59.889,313.806,-65.139,100.144,4.634,-26.626,0.834,-1.054,0.93
15,-236.619,310.209,-129.218,-129.532,353.129,-171.121,-237.982,311.5,-129.204,107.087,42.919,-41.903,-1.363,1.291,0.014
16,-408.626,300.982,-190.092,-293.352,378.851,-245.085,-408.71,302.406,-190.348,115.275,77.868,-54.993,-0.084,1.423,-0.256
17,-574.031,287.324,-247.731,-452.946,397.15,-314.136,-573.031,286.686,-248.007,121.085,109.826,-66.404,1,-0.638,-0.275
18,-730.225,269.45,-301.228,-606.428,412.267,-378.611,-730.253,268.934,-301.94,123.797,142.817,-77.384,-0.028,-0.516,-0.713
19,-874.745,247.642,-349.737,-748.978,421.462,-435.984,-874.808,247.48,-350.313,125.768,173.819,-86.248,-0.063,-0.162,-0.576
20,-1005.313,222.244,-392.493,-880.648,424.912,-484.202,-1006.617,222.195,-391.069,124.665,202.667,-91.709,-1.304,-0.049,1.424
21,-1119.868,193.657,-428.824,-993.653,421.318,-527.011,-1118.178,194.441,-428.48,126.215,227.661,-98.187,1.69,0.784,0.344
22,-1216.605,162.33,-458.155,-1095.357,410.078,-561.702,-1216.186,161.298,-459.615,121.248,247.747,-103.547,0.418,-1.033,-1.46
23,-1293.997,128.76,-480.024,-1177.098,396.412,-584.088,-1293.285,129.485,-479.94,116.899,267.653,-104.064,0.712,0.726,0.084
24,-1350.825,93.474,-494.086,-1241.456,372.772,-598.56,-1350.397,91.719,-494.846,109.369,279.299,-104.473,0.427,-1.754,-0.759
25,-1386.191,57.029,-500.12,-1285.651,349.035,-601.591,-1387.083,57.676,-499.439,100.54,292.007,-101.47,-0.892,0.647,0.681
26,-1399.539,20,-498.03,-1305.739,316.665,-597.842,-1397.755,20.915,-499.842,93.8,296.665,-99.812,1.784,0.915,-1.812
27,-1390.657,-17.029,-487.849,-1309.606,279.743,-579.359,-1390.359,-17.881,-487.194,81.051,296.771,-91.51,0.299,-0.852,0.656
28,-1359.687,-53.474,-469.738,-1292.067,241.963,-555.232,-1361.649,-52.546,-470.131,67.62,295.437,-85.494,-1.962,0.928,-0.392
29,-1307.115,-88.76,-443.983,-1250.883,196.316,-520.326,-1307.219,-89.875,-444.789,56.232,285.075,-76.343,-0.104,-1.115,-0.807
30,-1233.772,-122.33,-410.989,-1190.357,152.203,-476.362,-1233.78,-121.815,-411.194,43.415,274.534,-65.373,-0.008,0.516,-0.205
31,-1140.814,-153.657,-371.276,-1110.784,104.508,-424.75,-1140.421,-153.131,-371.521,30.03,258.165,-53.474,0.393,0.526,-0.245
32,-1029.706,-182.244,-325.472,-1014.365,56.242,-364.004,-1029.907,-181.745,-323.728,15.342,238.487,-38.532,-0.2,0.499,1.744
33,-902.202,-207.642,-274.299,-901.891,6.167,-301.974,-903.364,-207.966,-275.717,0.312,213.809,-27.675,-1.162,-0.323,-1.418
34,-760.312,-229.45,-218.563,-773.813,-42.472,-229.988,-761.306,-230.016,-218.402,-13.5,186.978,-11.425,-0.993,-0.565,0.161
35,-606.274,-247.324,-159.144,-631.703,-88.264,-153.169,-606.055,-246.264,-156.543,-25.429,159.06,5.975,0.219,1.06,2.601
36,-442.517,-260.982,-96.978,-482.454,-135.015,-78.914,-443.912,-261.161,-97.704,-39.937,125.968,18.064,-1.395,-0.179,-0.725
37,-271.623,-270.209,-33.047,-324.489,-178.371,0.812,-273.776,-271.245,-33.352,-52.866,91.838,33.858,-2.153,-1.036,-0.305
38,-96.288,-274.859,31.643,-158.032,-217.965,79.767,-96.504,-275.362,30.423,-61.744,56.895,48.124,-0.216,-0.503,-1.219
39,80.723,-274.859,96.07,8.905,-253.564,160.522,80.358,-275.791,96.575,-71.819,21.295,64.452,-0.365,-0.932,0.506
40,256.619,-270.209,159.218,177.637,-283.075,236.949,257.004,-269.335,159.323,-78.982,-12.866,77.731,0.384,0.874,0.105
41,428.626,-260.982,220.092,342.537,-309.395,311.713,428.994,-260.633,221.112,-86.089,-48.412,91.621,0.368,0.35,1.02
42,594.031,-247.324,277.731,503.871,-330.763,379.369,595.659,-247.181,276.832,-90.159,-83.439,101.637,1.628,0.143,-0.9
43,750.225,-229.45,331.228,654.951,-345.77,442.161,750.393,-229.735,329.235,-95.274,-116.32,110.933,0.168,-0.285,-1.992
44,894.745,-207.642,379.737,798.591,-353.444,502.72,895.884,-206.979,380.937,-96.154,-145.801,122.983,1.139,0.663,1.2
45,1025.313,-182.244,422.493,927.696,-356.569,552.527,1025.279,-182.291,423.434,-97.617,-174.325,130.033,-0.034,-0.046,0.941
46,1139.868,-153.657,458.824,1042.979,-352.494,592.797,1138.687,-153.116,458.307,-96.889,-198.837,133.973,-1.181,0.54,-0.517
47,1236.605,-122.33,488.155,1144.224,-342.742,627.773,1236.662,-121.556,489.513,-92.38,-220.412,139.618,0.057,0.775,1.358
48,1313.997,-88.76,510.024,1225.422,-327.735,650.25,1312.901,-88.621,510.164,-88.575,-238.975,140.226,-1.096,0.139,0.14
49,1370.825,-53.474,524.086,1291.302,-306.727,664.902,1372.171,-52.982,524.762,-79.522,-253.253,140.815,1.346,0.491,0.676
50,1406.191,-17.029,530.12,1333.763,-280.449,667.358,1406.483,-16.901,529.269,-72.428,-263.42,137.238,0.292,0.128,-0.852
